seed,algo,t_ms,hv_now,bsf_hv
8,MOEA/D,1285.826,0.4782102643183993,0.4782102643183993
8,MOEA/D,1348.808,0.48775547069534064,0.48775547069534064
8,MOEA/D,1395.906,0.511750881494548,0.511750881494548
8,MOEA/D,1443.49,0.5494978976492768,0.5494978976492768
8,MOEA/D,1491.784,0.6129895527763068,0.6129895527763068
8,MOEA/D,1539.952,0.621915275249839,0.621915275249839
8,MOEA/D,1588.324,0.62728827343809,0.62728827343809
8,MOEA/D,1635.611,0.6284181287363085,0.6284181287363085
8,MOEA/D,1698.0,0.6282403880944335,0.6284181287363085
8,MOEA/D,1745.019,0.6396575055141389,0.6396575055141389
8,MOEA/D,1792.346,0.667614914349967,0.667614914349967
8,MOEA/D,1840.425,0.7091597126221186,0.7091597126221186
8,MOEA/D,1889.511,0.7085755070663264,0.7091597126221186
8,MOEA/D,1938.087,0.709897510068715,0.709897510068715
8,MOEA/D,1987.347,0.7099824848836758,0.7099824848836758
8,MOEA/D,2036.38,0.741832256293832,0.741832256293832
8,MOEA/D,2085.038,0.7496441722302278,0.7496441722302278
8,MOEA/D,2134.154,0.8066922724972257,0.8066922724972257
8,MOEA/D,2199.372,0.8059397439158625,0.8066922724972257
8,MOEA/D,2248.939,0.8059397439158625,0.8066922724972257
8,MOEA/D,2296.591,0.8127629441212387,0.8127629441212387
8,MOEA/D,2345.418,0.818749049769434,0.818749049769434
8,MOEA/D,2393.642,0.8334105323198369,0.8334105323198369
8,MOEA/D,2442.613,0.8342366628878394,0.8342366628878394
8,MOEA/D,2490.114,0.8342366628878395,0.8342366628878395
8,MOEA/D,2537.595,0.8448520689938661,0.8448520689938661
8,MOEA/D,2584.224,0.8453641947255022,0.8453641947255022
8,MOEA/D,2647.342,0.8453641947255022,0.8453641947255022
8,MOEA/D,2694.717,0.852208443873711,0.852208443873711
8,MOEA/D,2740.974,0.852317970827693,0.852317970827693
8,MOEA/D,2787.325,0.852317970827693,0.852317970827693
8,MOEA/D,2834.715,0.852317970827693,0.852317970827693
8,MOEA/D,2897.385,0.853828446805088,0.853828446805088
8,MOEA/D,2944.038,0.8556160575413989,0.8556160575413989
8,MOEA/D,2991.012,0.8556160575413989,0.8556160575413989
8,MOEA/D,3038.183,0.8588786826610456,0.8588786826610456
8,MOEA/D,3085.37,0.8588786826610456,0.8588786826610456
8,MOEA/D,3148.002,0.8588786826610456,0.8588786826610456
8,MOEA/D,3163.37,0.8588786826610456,0.8588786826610456
9,AW-NSGA-II,47.099,0.0,0.0
9,AW-NSGA-II,98.818,0.0,0.0
9,AW-NSGA-II,149.731,0.0,0.0
9,AW-NSGA-II,198.013,0.0,0.0
9,AW-NSGA-II,246.549,0.0,0.0
9,AW-NSGA-II,296.398,0.0,0.0
9,AW-NSGA-II,346.912,0.005268880913612925,0.005268880913612925
9,AW-NSGA-II,397.931,0.015312066315625863,0.015312066315625863
9,AW-NSGA-II,449.004,0.03697477048811963,0.03697477048811963
9,AW-NSGA-II,498.482,0.12312568072931947,0.12312568072931947
9,AW-NSGA-II,548.64,0.15280224513586407,0.15280224513586407
9,AW-NSGA-II,598.59,0.17233049587866656,0.17233049587866656
9,AW-NSGA-II,648.703,0.27073268794167965,0.27073268794167965
9,AW-NSGA-II,699.476,0.3190409505296705,0.3190409505296705
9,AW-NSGA-II,747.589,0.3460507092447634,0.3460507092447634
9,AW-NSGA-II,798.056,0.3970700779310645,0.3970700779310645
9,AW-NSGA-II,843.642,0.3995344193605211,0.3995344193605211
9,MOEA/D,48.859,0.0,0.0
9,MOEA/D,97.706,0.0,0.0
9,MOEA/D,145.955,0.0,0.0
9,MOEA/D,195.026,0.0,0.0
9,MOEA/D,245.258,0.0054601075207264625,0.0054601075207264625
9,MOEA/D,292.459,0.025756684484524773,0.025756684484524773
9,MOEA/D,340.774,0.04260297236096205,0.04260297236096205
9,MOEA/D,389.69,0.05056464712949041,0.05056464712949041
9,MOEA/D,438.53,0.0836212188682737,0.0836212188682737
9,MOEA/D,487.411,0.11433759516469333,0.11433759516469333
9,MOEA/D,534.687,0.12576487307742862,0.12576487307742862
9,MOEA/D,597.941,0.1544989546487362,0.1544989546487362
9,MOEA/D,645.615,0.18055807589927295,0.18055807589927295
9,MOEA/D,692.935,0.18287832828162218,0.18287832828162218
9,MOEA/D,739.515,0.19958754305692156,0.19958754305692156
9,MOEA/D,786.966,0.20071728481232706,0.20071728481232706
9,MOEA/D,849.441,0.26263748609472626,0.26263748609472626
9,MOEA/D,897.034,0.24873231066530807,0.26263748609472626
9,MOEA/D,944.801,0.2531020410465821,0.26263748609472626
9,MOEA/D,992.459,0.2533817147394899,0.26263748609472626
9,MOEA/D,1039.251,0.25564135714301933,0.26263748609472626
9,MOEA/D,1088.586,0.2795893519887359,0.2795893519887359
