seed,algo,metric,t_ms,final_hv
44,AW-NSGA-II,t99,835.5356000001848,0.5284810356504215
44,MOEA/D,t50,1640.838000000258,0.9262127087217431
44,MOEA/D,t90,2789.1234999997323,0.9262127087217431
44,MOEA/D,t99,3086.4574999995966,0.9262127087217431
45,AW-NSGA-II,t50,548.0280000001585,0.8337835280891658
45,AW-NSGA-II,t90,846.432299999833,0.8337835280891658
45,AW-NSGA-II,t99,859.6144000002823,0.8337835280891658
45,MOEA/D,t50,736.3384000000224,0.7558435889623585
45,MOEA/D,t90,2044.152700000268,0.7558435889623585
45,MOEA/D,t99,3039.128900000833,0.7558435889623585
46,AW-NSGA-II,t50,495.0704000002588,0.352708905876683
46,AW-NSGA-II,t90,748.4199999998964,0.352708905876683
46,AW-NSGA-II,t99,832.7665000006164,0.352708905876683
46,MOEA/D,t50,1533.7797000001956,0.8184487832934778
46,MOEA/D,t90,2249.6805999999197,0.8184487832934778
46,MOEA/D,t99,2792.1150000001944,0.8184487832934778
47,AW-NSGA-II,t50,497.61819999912404,0.5377020838373127
47,AW-NSGA-II,t90,847.9211999992913,0.5377020838373127
47,AW-NSGA-II,t99,883.2181999996465,0.5377020838373127
47,MOEA/D,t50,944.1621999994823,0.8480436746183878
47,MOEA/D,t90,2989.094699999441,0.8480436746183878
47,MOEA/D,t99,3193.328699999256,0.8480436746183878
48,AW-NSGA-II,t50,498.9356999994925,0.5454175831375988
48,AW-NSGA-II,t90,799.9427999993713,0.5454175831375988
48,AW-NSGA-II,t99,868.7841999999364,0.5454175831375988
48,MOEA/D,t50,990.3711000006297,0.6736906317218488
48,MOEA/D,t90,3092.0616000003065,0.6736906317218488
48,MOEA/D,t99,3092.0616000003065,0.6736906317218488
49,AW-NSGA-II,t50,346.81970000019646,0.606195041902349
49,AW-NSGA-II,t90,749.5406000007279,0.606195041902349
49,AW-NSGA-II,t99,843.3244000007107,0.606195041902349
49,MOEA/D,t50,2442.750100000012,0.5600459087507793
49,MOEA/D,t90,3196.5392000001884,0.5600459087507793
49,MOEA/D,t99,3247.286699999677,0.5600459087507793
50,AW-NSGA-II,t50,397.16039999984787,0.520837333698481
50,AW-NSGA-II,t90,797.5790999998935,0.520837333698481
