config,arm,seed,f1,f2_full,share_low,gini_delta_h,delta_h_low_mean,delta_h_max,h_end_min_lowgrp
W2,nohealth,13,329.6666666666667,2998.161414489088,0.42,0.40018887944970216,-0.34796254870102705,0.14804330579357972,0.7450929383635282
W2,full,14,469.33333333333337,3633.161411466514,0.0,0.2623522809539549,0.0,0.13568454740367664,0.44340316020107184
W2,hard,14,365.6666666666667,2929.4457849515115,0.0,0.3423678481507755,0.0,0.16738255764312582,0.44340316020107184
W2,nohealth,14,343.66666666666663,2523.4341957818187,0.2,0.33177056862366183,-0.3082001599409246,0.14772340228442116,0.7640345531292534
W2,full,15,594.0000000000001,4344.231535071725,0.02,0.5346836726016468,-0.08898616128969099,0.22008434949793343,0.3770446367191773
W2,hard,15,418.33333333333337,3560.042193176468,0.0,0.5050476632005965,0.0,0.22106762455038487,0.3770446367191773
W2,nohealth,15,291.6666666666667,2571.632646934674,0.32,0.4886864117380465,-0.28789276655474966,0.17490056389597153,0.742813330011303
W2,full,16,470.0,3280.767058265539,0.02,0.3223595124798313,-0.3612082289501638,0.2368202766358487,0.735670630481123
W2,hard,16,337.0,2788.902228370499,0.0,0.399313489296266,0.0,0.2214723444773562,0.3744624015309592
W2,nohealth,16,295.66666666666663,2726.285645053661,0.1,0.336694570803165,-0.37919514337078697,0.2326706109045017,0.7536575449017462
W2,full,17,472.3333333333333,4201.461541922202,0.12,0.5754195098887198,-0.04384909344464111,0.2180724884177916,0.48587064865182744
W2,hard,17,437.6666666666667,4111.194533436098,0.0,0.6426520310668054,0.0,0.2133928649756346,0.48587064865182744
W2,nohealth,17,349.0,2704.700415023701,0.4,0.3600076376757235,-0.2329306245394763,0.18829067129285804,0.748187911864935
W2,full,18,488.0,4210.658676670744,0.26,0.46681765235969697,-0.17035359499769753,0.2665955973134856,0.30815374471785045
