arm,lam,seed,delta_h_mean,delta_h_max,gini_delta_h,delta_h_low_mean,delta_h_high_mean,h_end_min_lowgrp,share_low
full,0.0,20,-0.10186579618032635,0.13489743448376568,0.3700783948730493,-0.27185185135832934,0.06812025899767667,0.7632382399979406,0.5
hard,0.0,20,0.05835308711905696,0.18494769413101664,0.627494485671668,0.0,0.11670617423811391,0.42345039645223287,0.0
nohealth,0.0,20,-0.10213773151287078,0.10768020689437452,0.3656458163240506,-0.2633243989397807,0.059048935914039126,0.7351197158600167,0.56
full,0.0,21,0.0020776197364966386,0.24706271432490046,0.41117268743086544,-0.12415154009623872,0.128306779569232,0.36783207786804173,0.2
hard,0.0,21,0.07562472187586172,0.2417769682430756,0.6623606513966149,0.0,0.15124944375172344,0.36783207786804173,0.0
nohealth,0.0,21,-0.08954548527614917,0.14778189045305634,0.3305238671378252,-0.2593829918658409,0.08029202131354263,0.7325158588353333,0.54
full,0.0,22,-0.0027581344157416423,0.268036771222426,0.4247412116116387,-0.15042480817244558,0.14490853934096232,0.3137393541194783,0.3
hard,0.0,22,0.08654855104118897,0.2797395488261585,0.6561959693921946,0.0,0.17309710208237794,0.3137393541194783,0.0
nohealth,0.0,22,-0.09555635375362294,0.23773934102460492,0.35484116906967467,-0.3150730474151627,0.12396033990791673,0.7363462157776988,0.44
full,0.0,23,-0.09841642376321555,0.202341683360569,0.36629372938704274,-0.3015135923569775,0.10468074483054646,0.7378972199282421,0.5
hard,0.0,23,0.07337804867075925,0.2317140919515438,0.6383388352986958,0.0,0.1467560973415185,0.3158085206812917,0.0
nohealth,0.0,23,-0.10326400961762043,0.18069097726281969,0.39179251657101144,-0.2931095872515551,0.08658156801631425,0.7214910756607681,0.54
full,0.0,24,-0.018863005832348734,0.24965586307215204,0.4141928615713262,-0.17807586239280512,0.14034985072810766,0.30667490420366283,0.16
hard,0.0,24,0.0716065170284519,0.2438206089759407,0.6206556261642149,0.0,0.1432130340569038,0.30667490420366283,0.0
nohealth,0.0,24,-0.10875646135597412,0.1779680311226579,0.3601586118874902,-0.3014650164779666,0.08395209376601842,0.7576793154600955,0.52
full,0.0,25,-0.08541305822234029,0.12065836659806428,0.45771225685750294,-0.25024932421673196,0.07942320777205136,0.3938311204652987,0.18
hard,0.0,25,0.04397502559611308,0.13330885521183744,0.6194054957955635,0.0,0.08795005119222617,0.33441176769914865,0.0
nohealth,0.0,25,-0.15807704444581636,0.07836262598941823,0.45182058552316207,-0.3449419949976904,0.028787906106057637,0.7447586096942117,0.5
full,0.0,26,-0.04051594869667964,0.22922489595856343,0.33358504681904,-0.23027002474468555,0.1492381273513263,0.3074937805257015,0.26
hard,0.0,26,0.08369138615263995,0.26961675586440836,0.6585402905681887,0.0,0.1673827723052799,0.3074937805257015,0.0
nohealth,0.0,26,-0.11193494953687899,0.18619900380127918,0.33328882958323924,-0.31584146724479234,0.09197156817103433,0.7347376361412151,0.52
full,0.0,27,-0.1123886871502088,0.18346873753307202,0.32142849125967987,-0.31718979433746314,0.09241242003704549,0.7440207890143686,0.48
hard,0.0,27,0.06529417259176695,0.2146278471927946,0.6775300154032686,0.0,0.1305883451835339,0.4267015788733378,0.0
nohealth,0.0,27,-0.1148004692748692,0.14159128588928105,0.3246842000294985,-0.30918926540719516,0.07958832685745676,0.7408700769209817,0.46
full,0.0,28,-0.023102006575249308,0.24596699816348688,0.427721391179007,-0.18788984876843634,0.14168583561793774,0.34964960671307627,0.12
hard,0.0,28,0.0779585604168052,0.263337922755179,0.6558325014978925,0.0,0.1559171208336104,0.34964960671307627,0.0
nohealth,0.0,28,-0.10237784219822063,0.21291600598235705,0.3269017177675586,-0.315246103140074,0.11049041874363275,0.751217792106275,0.46
full,0.0,29,-0.024022086958534205,0.27709730383376996,0.5104809002188528,-0.15318247466374185,0.10513830074667344,0.3368144063294138,0.2
hard,0.0,29,0.06772296375884015,0.2785319809557256,0.6603096484064144,0.0,0.1354459275176803,0.3368144063294138,0.0
