scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,EHCO,25,0,150.0,180.0,220.0,thermal,6,0.7,356.0,737.0,107.02247191011236,0,53,53,100.0,3,113.00810000102501,465.45210000113,28000,436.0,1,None,1,0.5617430872525498,10
compound,A*-GA,25,0,150.0,180.0,220.0,thermal,6,0.7,292.0,863.0,195.54794520547944,0,53,53,100.0,0,,0.0,0,457.0,1,None,1,0.5596989704228954,10
compound,noFLC,25,0,150.0,180.0,220.0,thermal,6,0.7,356.0,610.0,71.34831460674157,0,53,53,100.0,3,111.09059999944293,450.21210000049905,28000,436.0,1,None,1,0.5682305178174731,10
compound,moead-cl,25,0,150.0,180.0,220.0,thermal,6,0.7,356.0,571.0,60.39325842696629,0,53,53,100.0,2,555.1167000012356,1097.7751000027638,8000,436.0,1,511.0,1,0.5981246727082354,10
compound,EHCO,26,0,150.0,180.0,220.0,thermal,6,0.7,285.0,630.0,121.05263157894737,0,53,53,100.0,3,111.56240000127582,625.3778999998758,28000,455.0,1,None,1,0.5686341078696616,10
compound,A*-GA,26,0,150.0,180.0,220.0,thermal,6,0.7,276.0,825.0,198.91304347826087,0,53,53,100.0,0,,0.0,0,469.0,2,None,1,0.5604770991539068,10
compound,noFLC,26,0,150.0,180.0,220.0,thermal,6,0.7,285.0,592.0,107.71929824561404,0,53,53,100.0,2,130.73589999839896,234.94690000006813,8000,455.0,1,526.0,1,0.5982714600091416,10
compound,moead-cl,26,0,150.0,180.0,220.0,thermal,6,0.7,285.0,543.0,90.52631578947368,0,53,53,100.0,3,550.0643000013952,3904.700999999477,28000,433.0,4,528.0,1,0.5981867482942989,10
compound,EHCO,27,0,150.0,180.0,220.0,thermal,6,0.7,473.0,721.0,52.43128964059197,0,53,53,100.0,3,122.29060000026948,637.416999998095,28000,441.0,6,688.0,1,0.5706683942451016,10
compound,A*-GA,27,0,150.0,180.0,220.0,thermal,6,0.7,304.0,937.0,208.22368421052633,0,53,53,100.0,0,,0.0,0,441.0,9,None,1,0.5588567669582255,10
compound,noFLC,27,0,150.0,180.0,220.0,thermal,6,0.7,473.0,669.0,41.43763213530655,0,53,53,100.0,3,117.4304000014672,609.3729000021995,28000,441.0,6,None,1,0.5706683942451016,10
compound,moead-cl,27,0,150.0,180.0,220.0,thermal,6,0.7,473.0,626.0,32.346723044397464,0,53,53,100.0,3,552.6368999999249,3913.952300001256,28000,441.0,6,None,1,0.5706683942451016,10
