scenario,strategy,seed,instance,f1_base,f1_event,deg_pct,warn_t,min_h,n_replans
compound,nocostadapt,9,0,373.0,568.0,52.27882037533512,440.0,0.5980456323419817,2
compound,nocostadapt,10,0,284.0,522.0,83.80281690140845,445.0,0.5982122759596931,3
compound,nocostadapt,11,0,321.0,588.0,83.17757009345794,443.0,0.5983304908605864,2
compound,nocostadapt,12,0,313.0,620.0,98.08306709265176,447.0,0.5709157836654943,3
compound,nocostadapt,13,0,312.0,659.0,111.21794871794873,444.0,0.5831582196555203,3
compound,nocostadapt,14,0,280.0,535.0,91.07142857142857,442.0,0.5981526394237837,2
compound,nocostadapt,15,0,369.0,819.0,121.95121951219512,438.0,0.5658563591087586,3
compound,nocostadapt,16,0,300.0,668.0,122.66666666666666,439.0,0.5709535525052867,3
compound,nocostadapt,17,0,391.0,1166.0,198.20971867007674,437.0,0.5584813395487156,3
compound,nocostadapt,18,0,428.0,1524.0,256.0747663551402,435.0,0.5582918490619483,3
compound,nocostadapt,19,0,308.0,920.0,198.70129870129873,441.0,0.559216899666309,3
compound,nocostadapt,20,0,399.0,588.0,47.368421052631575,440.0,0.5706228443243376,3
compound,nocostadapt,21,0,337.0,708.0,110.08902077151335,437.0,0.571545744501327,3
compound,nocostadapt,22,0,344.0,796.0,131.3953488372093,444.0,0.5747122128161355,3
compound,nocostadapt,23,0,357.0,1416.0,296.6386554621849,448.0,0.5582277576717456,3
compound,nocostadapt,24,0,275.0,607.0,120.72727272727273,436.0,0.5827214577980544,3
compound,nocostadapt,25,0,356.0,779.0,118.82022471910112,436.0,0.5608060727381222,3
compound,nocostadapt,26,0,285.0,682.0,139.29824561403507,433.0,0.5635905939307805,3
compound,nocostadapt,27,0,473.0,720.0,52.21987315010571,441.0,0.5706683942451016,3
compound,nocostadapt,28,0,335.0,1160.0,246.2686567164179,456.0,0.5583654722643147,3
compound,nocostadapt,29,0,348.0,1148.0,229.88505747126436,459.0,0.5584622922610436,3
compound,nocostadapt,30,0,302.0,506.0,67.54966887417218,429.0,0.5805452755967869,2
compound,nocostadapt,1,1,316.0,809.0,156.0126582278481,451.0,0.560304523991565,3
compound,nocostadapt,2,1,325.0,563.0,73.23076923076923,471.0,0.5778638420330273,3
compound,nocostadapt,3,1,307.0,634.0,106.51465798045604,441.0,0.5981413619944693,3
compound,nocostadapt,4,1,394.0,499.0,26.649746192893403,444.0,0.5981753724788309,3
compound,nocostadapt,5,1,334.0,524.0,56.886227544910184,434.0,0.5981241431818195,3
compound,nocostadapt,6,1,297.0,497.0,67.34006734006735,458.0,0.59830465205451,3
compound,nocostadapt,7,1,355.0,720.0,102.8169014084507,444.0,0.5625741881376168,3
compound,nocostadapt,8,1,350.0,550.0,57.14285714285714,450.0,0.5981365269356396,2
compound,nocostadapt,9,1,373.0,505.0,35.388739946380696,451.0,0.5982053730673444,2
compound,nocostadapt,10,1,284.0,482.0,69.71830985915493,438.0,0.5983481936187452,2
compound,nocostadapt,11,1,321.0,539.0,67.91277258566979,451.0,0.598208612590172,3
compound,nocostadapt,12,1,313.0,580.0,85.3035143769968,455.0,0.5982652525522121,3
compound,nocostadapt,13,1,312.0,511.0,63.78205128205128,438.0,0.5982123882134137,2
compound,nocostadapt,14,1,280.0,552.0,97.14285714285714,445.0,0.5982672987495367,3
compound,nocostadapt,15,1,369.0,765.0,107.31707317073172,441.0,0.5611032371035898,2
compound,nocostadapt,16,1,300.0,545.0,81.66666666666667,459.0,0.5983186325744884,2
compound,nocostadapt,17,1,391.0,511.0,30.69053708439898,463.0,0.5982253894905538,2
compound,nocostadapt,18,1,428.0,571.0,33.41121495327103,445.0,0.5895323978971035,2
compound,nocostadapt,19,1,308.0,643.0,108.76623376623375,442.0,0.5661614708044177,2
compound,nocostadapt,20,1,399.0,449.0,12.531328320802004,441.0,0.59844530166471,2
compound,nocostadapt,21,1,337.0,518.0,53.70919881305638,440.0,0.5981646980415608,2
compound,nocostadapt,22,1,344.0,537.0,56.104651162790695,465.0,0.5980908445655566,2
compound,nocostadapt,23,1,357.0,815.0,128.29131652661064,458.0,0.5602767803454815,3
compound,nocostadapt,24,1,275.0,407.0,48.0,439.0,0.5998776211137365,2
compound,nocostadapt,25,1,356.0,579.0,62.64044943820225,460.0,0.5738749506394949,3
compound,nocostadapt,26,1,285.0,490.0,71.9298245614035,448.0,0.5983055129655347,2
compound,nocostadapt,27,1,473.0,621.0,31.289640591966172,457.0,0.5980978377999221,3
compound,nocostadapt,28,1,335.0,480.0,43.28358208955223,467.0,0.5980448283968216,2
compound,nocostadapt,29,1,348.0,629.0,80.74712643678161,462.0,0.5687346413991957,2
compound,nocostadapt,30,1,302.0,475.0,57.284768211920536,452.0,0.5981640967863844,2
compound,nocostadapt,1,2,316.0,671.0,112.34177215189874,253.0,0.3397425379238906,3
compound,nocostadapt,2,2,325.0,538.0,65.53846153846153,256.0,0.36475181085179115,3
compound,nocostadapt,3,2,307.0,811.0,164.16938110749186,266.0,0.3743964714723547,3
compound,nocostadapt,4,2,394.0,594.0,50.76142131979695,261.0,0.34763485918320836,3
compound,nocostadapt,5,2,334.0,666.0,99.40119760479041,257.0,0.35780401511116544,3
