scenario,strategy,seed,instance,t_c,t_f,t_u,fault_type,aisle,reduction,f1_base,f1_event,deg_pct,timeout,n_done,n_total,completion_pct,n_replans,response_ms,response_ms_total,replan_evals,warn_t,warn_agv,maint_enter,detected,min_h,n_agv
compound,A*-GA,51,0,150.0,180.0,220.0,thermal,6,0.7,293.0,1460.0,398.2935153583618,0,53,53,100.0,0,,0.0,0,445.0,4,None,1,0.5582713473765224,10
compound,noFLC,51,0,150.0,180.0,220.0,thermal,6,0.7,282.0,637.0,125.88652482269505,0,53,53,100.0,3,118.86159999994561,504.0539000001445,28000,434.0,0,599.0,1,0.5768593802538288,10
compound,moead-cl,51,0,150.0,180.0,220.0,thermal,6,0.7,282.0,531.0,88.29787234042553,0,53,53,100.0,2,555.2101000030234,1113.9651000048616,8000,434.0,0,None,1,0.5771681221433113,10
compound,EHCO,52,0,150.0,180.0,220.0,thermal,6,0.7,324.0,727.0,124.38271604938271,0,53,53,100.0,3,125.67510000008042,686.4294000006339,28000,445.0,3,629.0,1,0.5982316285047621,10
compound,A*-GA,52,0,150.0,180.0,220.0,thermal,6,0.7,301.0,1518.0,404.3189368770764,0,53,53,100.0,0,,0.0,0,448.0,2,None,1,0.5582298356791968,10
compound,noFLC,52,0,150.0,180.0,220.0,thermal,6,0.7,324.0,613.0,89.19753086419753,0,53,53,100.0,2,119.20570000074804,230.86490000059712,8000,445.0,3,None,1,0.5982316285047621,10
compound,moead-cl,52,0,150.0,180.0,220.0,thermal,6,0.7,324.0,839.0,158.9506172839506,0,53,53,100.0,3,557.5229999994917,3902.725799998734,28000,445.0,3,None,1,0.5599932730987437,10
compound,EHCO,53,0,150.0,180.0,220.0,thermal,6,0.7,396.0,619.0,56.313131313131315,0,53,53,100.0,3,122.72099999972852,660.540700002457,28000,437.0,8,None,1,0.5981015984414387,10
compound,A*-GA,53,0,150.0,180.0,220.0,thermal,6,0.7,290.0,996.0,243.44827586206898,0,53,53,100.0,0,,0.0,0,457.0,5,None,1,0.5587977353353893,10
compound,noFLC,53,0,150.0,180.0,220.0,thermal,6,0.7,396.0,565.0,42.676767676767675,0,53,53,100.0,2,120.05850000059581,235.4211000019859,8000,437.0,8,None,1,0.5981015984414387,10
compound,moead-cl,53,0,150.0,180.0,220.0,thermal,6,0.7,396.0,619.0,56.313131313131315,0,53,53,100.0,3,577.8599999975995,3895.8609999972396,28000,458.0,4,None,1,0.5708305153040865,10
compound,EHCO,54,0,150.0,180.0,220.0,thermal,6,0.7,352.0,1734.0,392.6136363636364,0,53,53,100.0,3,133.21490000089398,722.2560000009253,28000,444.0,6,None,1,0.5581951946146302,10
compound,A*-GA,54,0,150.0,180.0,220.0,thermal,6,0.7,323.0,1428.0,342.10526315789474,0,53,53,100.0,0,,0.0,0,450.0,5,None,1,0.5582167767039314,10
compound,noFLC,54,0,150.0,180.0,220.0,thermal,6,0.7,352.0,1135.0,222.44318181818184,0,53,53,100.0,3,124.566299997241,688.0529000009119,28000,444.0,6,None,1,0.5584078801103081,10
compound,moead-cl,54,0,150.0,180.0,220.0,thermal,6,0.7,352.0,832.0,136.36363636363635,0,53,53,100.0,3,548.7513000007311,3894.187600002624,28000,444.0,6,525.0,1,0.5731847420145076,10
compound,EHCO,55,0,150.0,180.0,220.0,thermal,6,0.7,359.0,557.0,55.15320334261838,0,53,53,100.0,3,124.22399999923073,529.7676999980467,28000,443.0,2,None,1,0.5981449394852046,10
