scenario,strategy,beta,seed,instance,t_inj,fault_type,f1_base,f1_event,deg_pct,timeout,response_ms,warn_t,lead_time,warn_agv,detected,false_pos,maint_enter,min_h,replan_applied
fault,EHCO,0.002,7,0,200.0,thermal,355.0,355.0,0.0,0,,433.0,233.0,6,1,0,None,0.599707532512169,0
fault,EHCO,0.002,8,0,200.0,thermal,350.0,350.0,0.0,0,,419.0,219.0,3,1,0,None,0.5999341985658653,0
fault,EHCO,0.002,9,0,200.0,thermal,373.0,373.0,0.0,0,,434.0,234.0,3,1,0,None,0.5997396608032889,0
fault,EHCO,0.002,10,0,200.0,thermal,284.0,293.0,3.169014084507042,0,,427.0,227.0,3,1,0,None,0.5998928490031413,0
fault,EHCO,0.002,11,0,200.0,thermal,321.0,392.0,22.118380062305295,0,,426.0,226.0,3,1,0,None,0.5999619296639853,0
fault,EHCO,0.002,12,0,200.0,thermal,313.0,313.0,0.0,0,,434.0,234.0,2,1,0,None,0.5997748117315749,0
fault,EHCO,0.002,13,0,200.0,thermal,312.0,332.0,6.41025641025641,0,,426.0,226.0,3,1,0,None,0.5999881928445686,0
fault,EHCO,0.002,14,0,200.0,thermal,280.0,280.0,0.0,0,,418.0,218.0,3,1,0,None,0.5999253934673623,0
fault,EHCO,0.002,15,0,200.0,thermal,369.0,369.0,0.0,0,,421.0,221.0,3,1,0,None,0.5997304008662122,0
fault,EHCO,0.002,16,0,200.0,thermal,300.0,300.0,0.0,0,,419.0,219.0,3,1,0,None,0.5996563863191213,0
fault,EHCO,0.002,17,0,200.0,thermal,391.0,391.0,0.0,0,,416.0,216.0,3,1,0,None,0.5998372136883685,0
fault,EHCO,0.002,18,0,200.0,thermal,428.0,428.0,0.0,0,,433.0,233.0,0,1,0,None,0.5996772625614437,0
fault,EHCO,0.002,19,0,200.0,thermal,308.0,308.0,0.0,0,,427.0,227.0,3,1,0,None,0.5999560556480797,0
fault,EHCO,0.002,20,0,200.0,thermal,399.0,399.0,0.0,0,,434.0,234.0,3,1,0,None,0.5998379181500351,0
